System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.25.35.853806,178,0,0,0,0,0,0
08.25.35.884984,215,0,0,0,0,0,0
08.25.35.935345,264,0,0,0,0,0,0
08.25.35.984788,314,0,0,0,0,0,0
08.25.36.034393,364,0,0,0,0,0,0
08.25.36.081426,413,0,0,0,0,0,0
08.25.36.130778,463,0,0,0,0,0,0
08.25.36.180657,513,0,0,0,0,0,0
08.25.36.230438,562,0,0,0,0,0,0
08.25.36.280217,612,0,0,0,0,0,0
08.25.36.329692,662,0,0,0,0,0,0
08.25.36.379260,711,0,0,0,0,0,0
08.25.36.429187,761,0,0,0,0,0,0
08.25.36.478613,811,0,0,0,0,0,0
08.25.36.528461,861,0,0,0,0,0,0
08.25.36.578192,910,0,0,0,0,0,0
08.25.36.628065,960,0,0,0,0,0,0
08.25.36.661140,993,0,0,0,0,0,0
08.25.36.710759,43,0,0,0,0,0,0
08.25.36.760588,92,0,0,0,0,0,0
08.25.36.810035,142,0,0,0,0,0,0
08.25.36.859638,192,0,0,0,0,0,0
08.25.36.909490,242,0,0,0,0,0,0
08.25.36.959178,291,0,0,0,0,0,0
08.25.37.009109,341,0,0,0,0,0,0
08.25.37.058544,391,0,0,0,0,0,0
08.25.37.108220,440,0,0,0,0,0,0
08.25.37.158207,490,0,0,0,0,0,0
08.25.37.207714,540,0,0,0,0,0,0
08.25.37.257244,589,0,0,0,0,0,0
08.25.37.307364,639,0,0,0,0,0,0
08.25.37.357091,689,0,0,0,0,0,0
08.25.37.406653,739,0,0,0,0,0,0
08.25.37.456223,788,0,0,0,0,0,0
08.25.37.505749,838,0,0,0,0,0,0
08.25.37.555827,887,0,0,0,0,0,0
08.25.37.604237,937,0,0,0,0,0,0
08.25.37.654240,987,0,0,0,0,0,0
08.25.37.704668,37,0,0,0,0,0,0
08.25.37.753377,86,0,0,0,0,0,0
08.25.37.803683,137,0,0,0,0,0,0
08.25.37.852866,186,0,0,0,0,0,0
08.25.37.902974,236,0,0,0,0,0,0
08.25.37.952148,285,0,0,0,0,0,0
08.25.38.009531,335,0,0,0,0,0,0
08.25.38.058811,385,0,0,0,0,0,0
08.25.38.104894,435,0,0,0,0,0,0
08.25.38.159472,485,0,0,0,0,0,0
08.25.38.208177,534,0,0,0,0,0,0
08.25.38.258769,584,0,0,0,0,0,0
08.25.38.308473,634,0,0,0,0,0,0
08.25.38.357751,683,0,0,0,0,0,0
08.25.38.407357,733,0,0,0,0,0,0
08.25.38.457513,783,0,0,0,0,0,0
08.25.38.507425,833,0,0,0,0,0,0
08.25.38.557145,882,0,0,0,0,0,0
08.25.38.606384,932,0,0,0,0,0,0
08.25.38.656140,981,0,0,0,0,0,0
08.25.38.689543,15,0,0,0,0,0,0
08.25.38.739193,64,0,0,0,0,0,0
08.25.38.785959,114,0,0,0,0,0,0
08.25.38.840422,164,0,0,0,0,0,0
08.25.38.868785,198,0,0,0,0,0,0
08.25.38.907553,232,0,0,0,0,0,0
08.25.38.937589,266,0,0,0,0,0,0
08.25.38.987225,315,0,0,0,0,0,0
08.25.39.042004,366,0,0,0,0,0,0
08.25.39.076506,400,0,0,0,0,0,0
08.25.39.111454,436,0,0,0,0,0,0
08.25.39.156610,486,0,0,0,0,0,0
08.25.39.206711,535,0,0,0,0,0,0
08.25.39.255858,584,0,0,0,0,0,0
08.25.39.302508,634,0,0,0,0,0,0
08.25.39.339137,668,0,0,0,0,0,0
08.25.39.388291,717,0,0,0,0,0,0
08.25.39.438043,767,0,0,0,0,0,0
08.25.39.487978,817,0,0,0,0,0,0
08.25.39.537615,866,0,0,0,0,0,0
08.25.39.571234,900,0,0,0,0,0,0
08.25.39.620216,949,0,0,0,0,0,0
08.25.39.669781,999,0,0,0,0,0,0
08.25.39.720428,49,0,0,0,0,0,0
08.25.39.769540,98,0,0,0,0,0,0
08.25.39.818918,148,0,0,0,0,0,0
08.25.39.868760,198,0,0,0,0,0,0
08.25.39.923242,247,0,0,0,0,0,0
08.25.39.951251,281,0,0,0,0,0,0
08.25.40.001373,331,0,0,0,0,0,0
08.25.40.051446,380,0,0,0,0,0,0
08.25.40.100704,430,0,0,0,0,0,0
08.25.40.150372,479,0,0,0,0,0,0
08.25.40.205643,529,0,0,0,0,0,0
08.25.40.239890,564,0,0,0,0,0,0
08.25.40.274887,599,0,0,0,0,0,0
08.25.40.308782,633,0,0,0,0,0,0
08.25.40.343369,667,0,0,0,0,0,0
08.25.40.371709,701,0,0,0,0,0,0
08.25.40.426734,751,0,0,0,0,0,0
08.25.40.455754,784,0,0,0,0,0,0
08.25.40.505333,834,0,0,0,0,0,0
